R
502.72
496.95
500.76
499.27
497.33
499.33
498.98
502.93
500.56
500.53
500.71
498.21
500.89
500.15
499.32
499.24
499.85
499.66
500.35
499.37
498.59
498.29
498.54
497.89
498.53
499.44
501.45
498.20
498.14
498.33
501.20
500.42
500.56
499.85
499.21
500.36
499.26
500.13
498.44
499.40
499.40
499.33
499.33
499.07
498.54
501.25
500.39
499.56
500.04
500.34
503.31
500.58
499.12
499.87
500.96
500.63
499.26
499.07
500.25
500.01
502.71
501.25
500.57
500.32
502.18
502.78
499.72
499.25
500.38
499.42
498.95
499.87
499.32
500.54
502.54
497.40
500.42
499.95
500.62
499.70
498.16
499.71
500.08
500.14
499.71
500.76
500.84
499.38
501.03
501.75
498.51
500.20
498.65
497.74
501.26
499.30
500.25
501.89
500.59
499.54
501.64
499.67
506.12
500.29
498.48
499.37
498.46
499.98
499.31
499.79
499.20
498.90
500.51
502.10
498.92
500.85
498.49
499.69
498.09
498.53
500.76
498.94
500.01
500.52
500.30
500.38
502.22
502.05
500.23
499.93
499.95
499.79
503.25
499.84
500.30
500.26
499.77
501.93
501.18
499.07
500.77
498.74
498.83
498.53
502.20
500.88
500.15
499.61
503.37
498.97
500.80
500.14
499.80
500.64
500.08
498.61
499.02
499.75
500.25
500.34
499.15
499.27
499.56
500.49
500.89
500.87
499.31
498.62
499.34
498.95
498.57
498.36
502.61
501.42
501.56
502.07
501.75
501.02
499.50
499.81
500.21
497.85
501.78
500.60
500.94
501.92
503.05
500.06
500.69
500.52
501.41
500.05
500.00
500.72
499.84
499.75
499.10
500.06
499.83
501.09
500.51
500.31
500.09
501.81
499.24
499.79
500.57
499.23
500.91
498.48
499.07
501.15
500.33
500.42
503.15
499.19
500.13
500.13
502.10
500.51
499.17
499.20
499.81
500.27
501.60
501.73
500.17
502.28
499.88
499.44
500.93
502.94
500.61
499.72
501.71
501.76
499.36
498.60
499.77
502.16
501.33
499.97
501.12
501.73
500.81
501.40
499.62
504.32
502.50
500.48
500.15
498.43
500.19
501.33
501.67
504.35
500.62
499.56
501.52
499.62
498.20
501.41
503.14
500.04
500.39
500.35
499.96
499.83
498.91
499.86
500.68
498.33
500.54
499.25
500.3
502.6
500.89
499.27
498.69
499.26
501.9
501.48
499.9
498.68
497.5
500.8
499.02
498.75
499.59
498.35
501.89
498.00
500.7
499.54
500.8
499.6
499.75
500.2
500.48
500.19
498.82
499.73
500.03
499.97
500.36
500.73
500.52
499.27
500.01
499.78
499.97
499.79
505.31
501.69
502.07
500.43
499.48
500.5
498.42
499.72
499
498.04
500.15
498.88
498.39
499.75
500.46
499.15
500.48
498.91
500.24
500.28
500.41
503.1
498.42
498.63
501.97
499.15
498.1
500.7
499.57
500.79
499.94
500.54
500.15
498.38
500.24
499.8
500.15
500.39
499.83
500.04
499.64
500.51
498.68
498.23
501.29
498.43
499.38
499.71
499.74
502.22
501.04
501.96
499.36
498.75
498.92
498.29
498.55
501.11
499.55
500.54
497.84
498.75
501.18
500.42
498.44
502.38
503.27
499.1
501.66
498.05
500.08
499.14
500.51
502.04
498.88
499.27
500.32
499.95
500.91
500.02
499.3
501.97
499.38
499.83
499.14
500.76
500.8
499.82
500.53
501.62
499.86
499.19
500.47
500.56
499.91
500.34
499.19
499.95
499.04
498.47
499.2
497.87
500.22
499.31
498.56
499.19
501.18
500.24
499.97
502.33
501.84
499.98
500.48
500.73
500.57
500.44
501.56
498.81
500.52
500.1
499.64
499.55
499.34
499.97
500.51
501.21
497.97
497.38
501.91
500.46
499.07
500.11
499.22
500.53
500.08
499.86
500.09
499.33
501.15
500.01
499.66
503.76
500.78
500.5
499.43
498.62
498.42
500.56
500.15
499.37
499.36
498.93
499.4
500.29
499.94
499.38
498.54
500.3
499.82
499.63
498.01
499.23
502.22
499.67
498.26
499.44
499.07
499.91
499.04
499.27
500.02
498.54
499.01
498.91
500.42
498.59
499.98
498.5
500.4
499.92
500.11
499.2
498.99
500.22
502.56
499.85
501.73
500.35
499.97
497.87
499.29
499.24
499.54
498.58
498.43
500.13
500.1
498.98
498.55
499.15
499.41
500.04
499.94
499.22
499.02
499.17
499.8
500.64
498.54
498.52
497.95
501
500.13
500.62
498.89
499.94
500.37
499.15
500.08
498.2
499.91
502.73
501.08
500.39
501.26
498.1
501.06
499.8










































































































































































































































































































































































































































































